"Any","Codi_Districte_baixa","Nom_Districte_baixa","Codi_Barri_baixa","Nom_Barri_baixa","Codi_Districte_alta","Nom_Districte_alta","Codi_Barri_alta","Nom_Barri_alta","Nombre"
2014,1,"Ciutat Vella",1,"el Raval",1,"Ciutat Vella",1,"el Raval",4059
2014,1,"Ciutat Vella",2,"el Barri Gòtic",1,"Ciutat Vella",1,"el Raval",196
2014,1,"Ciutat Vella",3,"la Barceloneta",1,"Ciutat Vella",1,"el Raval",89
2014,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",1,"Ciutat Vella",1,"el Raval",176
2014,2,"Eixample",5,"el Fort Pienc",1,"Ciutat Vella",1,"el Raval",64
2014,2,"Eixample",6,"la Sagrada Família",1,"Ciutat Vella",1,"el Raval",83
2014,2,"Eixample",7,"la Dreta de l'Eixample",1,"Ciutat Vella",1,"el Raval",61
2014,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",1,"Ciutat Vella",1,"el Raval",125
2014,2,"Eixample",9,"la Nova Esquerra de l'Eixample",1,"Ciutat Vella",1,"el Raval",147
2014,2,"Eixample",10,"Sant Antoni",1,"Ciutat Vella",1,"el Raval",495
2014,3,"Sants-Montjuïc",11,"el Poble Sec",1,"Ciutat Vella",1,"el Raval",654
2014,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1,"Ciutat Vella",1,"el Raval",1
2014,3,"Sants-Montjuïc",13,"la Marina de Port",1,"Ciutat Vella",1,"el Raval",68
2014,3,"Sants-Montjuïc",14,"la Font de la Guatlla",1,"Ciutat Vella",1,"el Raval",51
2014,3,"Sants-Montjuïc",15,"Hostafrancs",1,"Ciutat Vella",1,"el Raval",44
2014,3,"Sants-Montjuïc",16,"la Bordeta",1,"Ciutat Vella",1,"el Raval",31
2014,3,"Sants-Montjuïc",17,"Sants - Badal",1,"Ciutat Vella",1,"el Raval",46
2014,3,"Sants-Montjuïc",18,"Sants",1,"Ciutat Vella",1,"el Raval",84
2014,4,"Les Corts",19,"les Corts",1,"Ciutat Vella",1,"el Raval",32
2014,4,"Les Corts",20,"la Maternitat i Sant Ramon",1,"Ciutat Vella",1,"el Raval",13
2014,4,"Les Corts",21,"Pedralbes",1,"Ciutat Vella",1,"el Raval",4
2014,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",1,"Ciutat Vella",1,"el Raval",9
2014,5,"Sarrià-Sant Gervasi",23,"Sarrià",1,"Ciutat Vella",1,"el Raval",18
2014,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",1,"Ciutat Vella",1,"el Raval",15
2014,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",1,"Ciutat Vella",1,"el Raval",16
2014,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",1,"Ciutat Vella",1,"el Raval",24
2014,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",1,"Ciutat Vella",1,"el Raval",23
2014,6,"Gràcia",28,"Vallcarca i els Penitents",1,"Ciutat Vella",1,"el Raval",18
2014,6,"Gràcia",29,"el Coll",1,"Ciutat Vella",1,"el Raval",5
2014,6,"Gràcia",30,"la Salut",1,"Ciutat Vella",1,"el Raval",19
2014,6,"Gràcia",31,"la Vila de Gràcia",1,"Ciutat Vella",1,"el Raval",95
2014,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",1,"Ciutat Vella",1,"el Raval",32
2014,7,"Horta-Guinardó",33,"el Baix Guinardó",1,"Ciutat Vella",1,"el Raval",30
2014,7,"Horta-Guinardó",34,"Can Baró",1,"Ciutat Vella",1,"el Raval",6
2014,7,"Horta-Guinardó",35,"el Guinardó",1,"Ciutat Vella",1,"el Raval",35
2014,7,"Horta-Guinardó",36,"la Font d'en Fargues",1,"Ciutat Vella",1,"el Raval",3
2014,7,"Horta-Guinardó",37,"el Carmel",1,"Ciutat Vella",1,"el Raval",41
2014,7,"Horta-Guinardó",38,"la Teixonera",1,"Ciutat Vella",1,"el Raval",16
2014,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",1,"Ciutat Vella",1,"el Raval",2
2014,7,"Horta-Guinardó",40,"Montbau",1,"Ciutat Vella",1,"el Raval",1
2014,7,"Horta-Guinardó",41,"la Vall d'Hebron",1,"Ciutat Vella",1,"el Raval",0
2014,7,"Horta-Guinardó",42,"la Clota",1,"Ciutat Vella",1,"el Raval",1
2014,7,"Horta-Guinardó",43,"Horta",1,"Ciutat Vella",1,"el Raval",29
2014,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",1,"Ciutat Vella",1,"el Raval",20
2014,8,"Nou Barris",45,"Porta",1,"Ciutat Vella",1,"el Raval",32
2014,8,"Nou Barris",46,"el Turó de la Peira",1,"Ciutat Vella",1,"el Raval",8
2014,8,"Nou Barris",47,"Can Peguera",1,"Ciutat Vella",1,"el Raval",2
2014,8,"Nou Barris",48,"la Guineueta",1,"Ciutat Vella",1,"el Raval",13
2014,8,"Nou Barris",49,"Canyelles",1,"Ciutat Vella",1,"el Raval",0
2014,8,"Nou Barris",50,"les Roquetes",1,"Ciutat Vella",1,"el Raval",14
2014,8,"Nou Barris",51,"Verdun",1,"Ciutat Vella",1,"el Raval",11
2014,8,"Nou Barris",52,"la Prosperitat",1,"Ciutat Vella",1,"el Raval",28
2014,8,"Nou Barris",53,"la Trinitat Nova",1,"Ciutat Vella",1,"el Raval",15
2014,8,"Nou Barris",54,"Torre Baró",1,"Ciutat Vella",1,"el Raval",12
2014,8,"Nou Barris",55,"Ciutat Meridiana",1,"Ciutat Vella",1,"el Raval",18
2014,8,"Nou Barris",56,"Vallbona",1,"Ciutat Vella",1,"el Raval",9
2014,9,"Sant Andreu",57,"la Trinitat Vella",1,"Ciutat Vella",1,"el Raval",11
2014,9,"Sant Andreu",58,"Baró de Viver",1,"Ciutat Vella",1,"el Raval",8
2014,9,"Sant Andreu",59,"el Bon Pastor",1,"Ciutat Vella",1,"el Raval",18
2014,9,"Sant Andreu",60,"Sant Andreu",1,"Ciutat Vella",1,"el Raval",48
2014,9,"Sant Andreu",61,"la Sagrera",1,"Ciutat Vella",1,"el Raval",21
2014,9,"Sant Andreu",62,"el Congrés i els Indians",1,"Ciutat Vella",1,"el Raval",14
2014,9,"Sant Andreu",63,"Navas",1,"Ciutat Vella",1,"el Raval",35
2014,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",1,"Ciutat Vella",1,"el Raval",73
2014,10,"Sant Martí",65,"el Clot",1,"Ciutat Vella",1,"el Raval",44
2014,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",1,"Ciutat Vella",1,"el Raval",25
2014,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",1,"Ciutat Vella",1,"el Raval",17
2014,10,"Sant Martí",68,"el Poblenou",1,"Ciutat Vella",1,"el Raval",55
2014,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",1,"Ciutat Vella",1,"el Raval",3
2014,10,"Sant Martí",70,"el Besòs i el Maresme",1,"Ciutat Vella",1,"el Raval",59
2014,10,"Sant Martí",71,"Provençals del Poblenou",1,"Ciutat Vella",1,"el Raval",21
2014,10,"Sant Martí",72,"Sant Martí de Provençals",1,"Ciutat Vella",1,"el Raval",24
2014,10,"Sant Martí",73,"la Verneda i la Pau",1,"Ciutat Vella",1,"el Raval",15
2014,99,"No consta",99,"No consta",1,"Ciutat Vella",1,"el Raval",0
2014,1,"Ciutat Vella",1,"el Raval",1,"Ciutat Vella",2,"el Barri Gòtic",266
2014,1,"Ciutat Vella",2,"el Barri Gòtic",1,"Ciutat Vella",2,"el Barri Gòtic",316
2014,1,"Ciutat Vella",3,"la Barceloneta",1,"Ciutat Vella",2,"el Barri Gòtic",46
2014,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",1,"Ciutat Vella",2,"el Barri Gòtic",129
2014,2,"Eixample",5,"el Fort Pienc",1,"Ciutat Vella",2,"el Barri Gòtic",61
2014,2,"Eixample",6,"la Sagrada Família",1,"Ciutat Vella",2,"el Barri Gòtic",36
2014,2,"Eixample",7,"la Dreta de l'Eixample",1,"Ciutat Vella",2,"el Barri Gòtic",67
2014,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",1,"Ciutat Vella",2,"el Barri Gòtic",29
2014,2,"Eixample",9,"la Nova Esquerra de l'Eixample",1,"Ciutat Vella",2,"el Barri Gòtic",38
2014,2,"Eixample",10,"Sant Antoni",1,"Ciutat Vella",2,"el Barri Gòtic",82
2014,3,"Sants-Montjuïc",11,"el Poble Sec",1,"Ciutat Vella",2,"el Barri Gòtic",110
2014,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1,"Ciutat Vella",2,"el Barri Gòtic",1
2014,3,"Sants-Montjuïc",13,"la Marina de Port",1,"Ciutat Vella",2,"el Barri Gòtic",11
2014,3,"Sants-Montjuïc",14,"la Font de la Guatlla",1,"Ciutat Vella",2,"el Barri Gòtic",10
2014,3,"Sants-Montjuïc",15,"Hostafrancs",1,"Ciutat Vella",2,"el Barri Gòtic",11
2014,3,"Sants-Montjuïc",16,"la Bordeta",1,"Ciutat Vella",2,"el Barri Gòtic",15
2014,3,"Sants-Montjuïc",17,"Sants - Badal",1,"Ciutat Vella",2,"el Barri Gòtic",12
2014,3,"Sants-Montjuïc",18,"Sants",1,"Ciutat Vella",2,"el Barri Gòtic",25
2014,4,"Les Corts",19,"les Corts",1,"Ciutat Vella",2,"el Barri Gòtic",16
2014,4,"Les Corts",20,"la Maternitat i Sant Ramon",1,"Ciutat Vella",2,"el Barri Gòtic",3
2014,4,"Les Corts",21,"Pedralbes",1,"Ciutat Vella",2,"el Barri Gòtic",2
2014,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",1,"Ciutat Vella",2,"el Barri Gòtic",1
