"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS",
"12134410","Centre Educatiu Amor de Dios","#","C","Travau","52","60","46","el Turó de la Peira","08","Nou Barris","08031","019","BARCELONA","41.431706","2.166917","430395.266","4587017.225","430487.197","4587218.205","934293921","#","","","","","","","",
"12134410","Centre Educatiu Amor de Dios","#","C","Travau","52","60","46","el Turó de la Peira","08","Nou Barris","08031","019","BARCELONA","41.431706","2.166917","430395.266","4587017.225","430487.197","4587218.205","934209913","Fax","","","","","","","",
"24085910","Institut Lluís Vives","#","C","Canalejas","107","107","17","Sants - Badal","03","Sants-Montjuïc","08028","019","BARCELONA","41.371862","2.128093","427084.613","4580405.362","427176.515","4580606.28","932966702","Fax","","","","","","","",
"24085910","Institut Lluís Vives","#","C","Canalejas","107","107","17","Sants - Badal","03","Sants-Montjuïc","08028","019","BARCELONA","41.371862","2.128093","427084.613","4580405.362","427176.515","4580606.28","934317094","#","","","","","","","",
"27113254","Escola de Música Sant Josep","#","C","Grassot","92","96","32","el Camp d'en Grassot i Gràcia Nova","06","Gràcia","08025","019","BARCELONA","41.405251","2.165362","430237.028","4584081.398","430328.958","4584282.351","934576011","#","","","","","","","",
"68155924","Equip de Seguretat per a la Coordinació d'Emergències en Xarxes Telemàtiques","#","C","Jordi Girona","1","3","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.387901","2.114678","425980.95","4582197.318","426072.841","4582398.253","934015795","#","","","","","","","",
"68155924","Equip de Seguretat per a la Coordinació d'Emergències en Xarxes Telemàtiques","#","C","Jordi Girona","1","3","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.387901","2.114678","425980.95","4582197.318","426072.841","4582398.253","934016984","#","","","","","","","",
"68155924","Equip de Seguretat per a la Coordinació d'Emergències en Xarxes Telemàtiques","#","C","Jordi Girona","1","3","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.387901","2.114678","425980.95","4582197.318","426072.841","4582398.253","934017055","Fax","","","","","","","",
"74093138","Centre Educatiu Sant Antoni Maria Claret","#","C","Sant Antoni Maria Claret","357","371","61","la Sagrera","09","Sant Andreu","08027","019","BARCELONA","41.421049","2.187421","432097.273","4585817.769","432189.22","4586018.739","933497566","Fax","","","","","","","",
"74093138","Centre Educatiu Sant Antoni Maria Claret","#","C","Sant Antoni Maria Claret","357","371","61","la Sagrera","09","Sant Andreu","08027","019","BARCELONA","41.421049","2.187421","432097.273","4585817.769","432189.22","4586018.739","933497566","#","","","","","","","",
"150121418","Institut Hospital del Mar d'Investigacions Mèdiques","#","C","Doctor Aiguader","88","88","03","la Barceloneta","01","Ciutat Vella","08003","019","BARCELONA","41.385576","2.194025","432612.573","4581874.469","432704.526","4582075.403","933160410","Fax","","","","","","","",
"150121418","Institut Hospital del Mar d'Investigacions Mèdiques","#","C","Doctor Aiguader","88","88","03","la Barceloneta","01","Ciutat Vella","08003","019","BARCELONA","41.385576","2.194025","432612.573","4581874.469","432704.526","4582075.403","933160400","#","","","","","","","",
"172133754","Escola de Música Musicant","#","C","Indústria","311","311","64","el Camp de l'Arpa del Clot","10","Sant Martí","08041","019","BARCELONA","41.416757","2.183661","431778.577","4585344.243","431870.521","4585545.208","933406999","#","","","","","","","",
"199193656","Jam Session Escola de Música","#","C","Sant Germà","8","8","14","la Font de la Guatlla","03","Sants-Montjuïc","08004","019","BARCELONA","41.372075","2.146444","428619.458","4580413.644","428711.374","4580614.563","934252877","#","","","","","","","",
"266121351","Institut del Teatre","Institut d'Educació Secundària i Artística","Pl","Margarida Xirgu","6","8","11","el Poble-sec","03","Sants-Montjuïc","08004","019","BARCELONA","41.371403","2.157551","429547.604","4580329.989","429639.529","4580530.907","932273907","#","","","","","","","",
"301181529","Institut de Recerca CEPBA-IBM","#","C","Jordi Girona","1","3","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.387901","2.114678","425980.95","4582197.318","426072.841","4582398.253","934016986","#","","","","","","","",
"301181529","Institut de Recerca CEPBA-IBM","#","C","Jordi Girona","1","3","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.387901","2.114678","425980.95","4582197.318","426072.841","4582398.253","934017055","Fax","","","","","","","",
"312180049","Centre de Tecnologies i Aplicacions del Llenguatge i la Parla","#","C","Jordi Girona","1","3","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.387901","2.114678","425980.95","4582197.318","426072.841","4582398.253","934016447","Fax","","","","","","","",
"312180049","Centre de Tecnologies i Aplicacions del Llenguatge i la Parla","#","C","Jordi Girona","1","3","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.387901","2.114678","425980.95","4582197.318","426072.841","4582398.253","934016439","#","","","","","","","",
"322114546","Facultat de Ciències de la Salut i de la Vida - UPF","#","C","Doctor Aiguader","80","80","03","la Barceloneta","01","Ciutat Vella","08003","019","BARCELONA","41.383802","2.194031","432611.191","4581677.536","432703.144","4581878.468","935422802","Fax","","","","","","","",
"322114546","Facultat de Ciències de la Salut i de la Vida - UPF","#","C","Doctor Aiguader","80","80","03","la Barceloneta","01","Ciutat Vella","08003","019","BARCELONA","41.383802","2.194031","432611.191","4581677.536","432703.144","4581878.468","935422800","Centraleta","","","","","","","",
